date,pl,oz_exp,oz_long,oz_short,gold,long_signal,long_signal_size,long,short_signal,short_signal_size,short,pos,str,str_return,gold_return,str_cum_return,gold_cum_return
2023-09-11,205924.99999999985,1000.0,24000.0,-23000.0,1924.95,1.0,1,1.0,0.0,0,1.0,2.0,1.0,-0.0029567382508557394,-0.0014783691254278697,0.07586568108656166,0.04432388444323809
2023-09-12,189524.99999999974,1500.0,24500.0,-23000.0,1908.55,1.0,1,1.0,2.0,1,0.0,3.0,1.5,-0.008519701810436708,-0.008519701810436708,0.06669962629562187,0.03542655635426484
2023-09-13,197399.99999999977,1000.0,25000.0,-24000.0,1913.8,1.0,1,1.0,1.0,1,2.0,2.0,0.6666666666666666,0.004126169081239528,0.0027507793874930186,0.07110100931261254,0.03827478638274706
2023-09-14,185349.9999999998,1000.0,25500.0,-24500.0,1901.75,0.0,0,1.0,1.0,1,1.0,2.0,1.0,-0.004197582471174262,-0.006296373706761393,0.06660497449106484,0.03173742031737348
2023-09-15,211299.99999999985,500.0,25500.0,-25000.0,1927.7,0.0,0,0.0,1.0,1,1.0,1.0,0.5,0.013645326672801383,0.013645326672801383,0.08115914779883049,0.04581581445815752
2023-09-18,209199.99999999977,0.0,25500.0,-25500.0,1923.5,0.0,0,0.0,0.0,0,1.0,0.0,0.0,-0.0010893811277688514,-0.002178762255537703,0.07998135342710389,0.04353723043537161
2023-09-19,209199.9999999997,0.0,25500.0,-25500.0,1934.9,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005926696126852038,0.07998135342710389,0.04972195849721883
2023-09-20,209199.99999999983,0.0,25500.0,-25500.0,1943.35,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.004367150757145,0.07998135342710389,0.05430625254306176
2023-09-21,209199.9999999997,500.0,26000.0,-25500.0,1915.0,0.0,0,1.0,0.0,0,0.0,1.0,1.0,-0.0,-0.014588211078807145,0.07998135342710389,0.038925810389257354
2023-09-22,215374.99999999977,500.0,26000.0,-25500.0,1927.35,0.0,0,0.0,1.0,1,0.0,1.0,1.0,0.00644908616187978,0.00644908616187978,0.08694624622857883,0.045625932456258456
2023-09-25,214124.99999999977,0.0,26000.0,-26000.0,1924.85,1.0,1,0.0,0.0,0,1.0,0.0,0.0,-0.001297117804239023,-0.001297117804239023,0.0855363489003449,0.04426963244269544
2023-09-26,214124.99999999974,500.0,26500.0,-26000.0,1907.05,0.0,0,1.0,0.0,0,0.0,1.0,1.0,-0.0,-0.009247473829129493,0.0855363489003449,0.03461277634612703
2023-09-27,204249.99999999977,500.0,26500.0,-26000.0,1887.3,0.0,0,0.0,1.0,1,0.0,1.0,1.0,-0.010356309483233295,-0.010356309483233295,0.07429419851583385,0.023898006238979308
2023-09-28,197374.99999999985,0.0,26500.0,-26500.0,1873.55,0.0,0,0.0,0.0,0,1.0,0.0,0.0,-0.007285540189688966,-0.007285540189688966,0.066467384956997,0.016438356164382828
2023-09-29,197374.9999999997,0.0,26500.0,-26500.0,1870.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0016279255957940553,0.066467384956997,0.014783670147836103
2023-10-02,197374.9999999999,0.0,26500.0,-26500.0,1833.05,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.020021384656508934,0.066467384956997,-0.005533704055337596
2023-10-03,197375.00000000006,0.0,26500.0,-26500.0,1822.45,1.0,1,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.005782711873653201,0.066467384956997,-0.011284416112844697
2023-10-04,197375.0,500.0,27000.0,-26500.0,1818.95,1.0,1,1.0,0.0,0,0.0,1.0,1.0,-0.0,-0.0019204916458613885,0.066467384956997,-0.01318323613183292
2023-10-05,197625.0,1000.0,27500.0,-26500.0,1819.45,1.0,1,1.0,1.0,1,0.0,2.0,2.0,0.00027488386156848676,0.00027488386156848676,0.06676053963001083,-0.012911976129120317
2023-10-06,197774.99999999942,1000.0,28000.0,-27000.0,1819.6,1.0,1,1.0,1.0,1,1.0,2.0,1.0,0.0001648849927176066,8.24424963588033e-05,0.06693643243381908,-0.012830598128306558
2023-10-09,223674.99999999994,1000.0,28500.0,-27500.0,1845.5,0.0,0,1.0,1.0,1,1.0,2.0,1.0,0.01423389755990323,0.01423389755990323,0.08212309631601067,0.0012206700122061598
2023-10-10,235174.99999999977,500.0,28500.0,-28000.0,1857.0,1.0,1,0.0,1.0,1,1.0,1.0,0.5,0.006231373611487401,0.006231373611487401,0.08886620962277525,0.007459650074596036
2023-10-11,242299.9999999996,500.0,29000.0,-28500.0,1871.25,1.0,1,1.0,0.0,0,1.0,1.0,1.0,0.0038368336025847993,0.007673667205169599,0.09304400808457514,0.01519056015190512
2023-10-12,243674.9999999996,1000.0,29500.0,-28500.0,1874.0,1.0,1,1.0,1.0,1,0.0,2.0,2.0,0.0014696058784235966,0.0014696058784235966,0.09465035198423188,0.01668249016682455
2023-10-13,278874.99999999994,1000.0,30000.0,-29000.0,1909.2,0.0,0,1.0,1.0,1,1.0,2.0,1.0,0.037566702241195404,0.018783351120597702,0.13577275581544335,0.035779194357791644
2023-10-16,287724.99999999965,500.0,30000.0,-29500.0,1918.05,0.0,0,0.0,1.0,1,1.0,1.0,0.5,0.00463544940289129,0.00463544940289129,0.1410375729582083,0.040580496405804745
2023-10-17,292799.9999999997,0.0,30000.0,-30000.0,1928.2,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0026459164255363543,0.005291832851072709,0.14405666301465248,0.04608707446087057
2023-10-18,292799.9999999997,0.0,30000.0,-30000.0,1955.7,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.014262006015973494,0.14405666301465248,0.06100637461006353
2023-10-19,292799.99999999977,0.0,30000.0,-30000.0,1953.55,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0010993506161477429,0.14405666301465248,0.05983995659839936
2023-10-20,292799.9999999997,0.0,30000.0,-30000.0,1988.5,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.017890507025671187,0.14405666301465248,0.07880103078801004
2023-10-23,292799.99999999965,500.0,30500.0,-30000.0,1973.0,1.0,1,1.0,0.0,0,0.0,1.0,1.0,-0.0,-0.007794820216243448,0.14405666301465248,0.07039197070391934
2023-10-24,288124.9999999999,1000.0,31000.0,-30000.0,1963.65,1.0,1,1.0,0.0,0,0.0,2.0,2.0,-0.0047389761784084605,-0.0047389761784084605,0.1386350057418766,0.06531940865319386
2023-10-25,307774.9999999997,1500.0,31500.0,-30000.0,1983.3,1.0,1,1.0,1.0,1,0.0,3.0,1.5,0.020013749904514544,0.010006874952257272,0.16142336197931995,0.07597992675979892
2023-10-26,295324.9999999997,1500.0,32000.0,-30500.0,1975.0,1.0,1,1.0,0.0,0,1.0,3.0,1.0,-0.0062774164271668376,-0.004184944284777892,0.1541326238879357,0.07147701071476975
2023-10-27,307174.99999999994,2000.0,32500.0,-30500.0,1982.9,1.0,1,1.0,1.0,1,0.0,4.0,1.3333333333333333,0.0040000000000000036,0.0040000000000000036,0.15874915438348736,0.07576291875762875
2023-10-30,336574.9999999994,2000.0,33000.0,-31000.0,1997.6,0.0,0,1.0,0.0,0,1.0,4.0,1.0,0.009884512582580976,0.007413384436935733,0.17020282498004602,0.08373796283737911
2023-10-31,335174.99999999994,2000.0,33000.0,-31000.0,1996.9,0.0,0,0.0,0.0,0,0.0,4.0,1.0,-0.00035042050460543095,-0.00035042050460543095,0.16979276191562587,0.08335819883358164
2023-11-01,314074.9999999994,2000.0,33000.0,-31000.0,1986.35,0.0,0,0.0,0.0,0,0.0,4.0,1.0,-0.005283188942861505,-0.005283188942861505,0.16361252573043372,0.07763461277634565
2023-11-02,308574.9999999994,2000.0,33000.0,-31000.0,1983.6,1.0,1,0.0,0.0,0,0.0,4.0,1.0,-0.001384448863493315,-0.001384448863493315,0.16200156369163965,0.07614268276142644
2023-11-03,330274.99999999977,2500.0,33500.0,-31000.0,1994.45,1.0,1,1.0,0.0,0,0.0,5.0,1.25,0.005469852792901797,0.005469852792901797,0.16835754119015456,0.08202902482028995
2023-11-06,305649.99999999936,3000.0,34000.0,-31000.0,1984.6,1.0,1,1.0,0.0,0,0.0,6.0,1.2,-0.006173381132643235,-0.004938704906114588,0.1611448247891898,0.07668520276685165
