date,price,long,exit,exit_,return,rolling_var,rolling_sharpe,location,cum_return,days,annual_return,required_return,required_return_loc,required_to_breakeven,max_drawdown,cr_vs_md,case_why,should_close,should_close_day,fecha_compra
2021-04-08,1755.5,0.0,0.0,0.0,0.010039987342136403,,,92.3076923076923,-0.04571646010002128,58,-0.1839778453187958,-0.0007696061179400804,50.0,100.0,-0.08612595989471657,-0.5308092955469722,holded,0,0.0,2021-02-09
2021-04-09,1741.2,0.0,0.0,0.0,-0.008145827399601235,,,19.23076923076923,-0.053489889106327015,59,-0.20927308095730723,-0.0008815060893904159,50.0,100.0,-0.08612595989471657,-0.6210658107232123,holded,0,0.0,2021-02-09
2021-04-12,1732.85,0.0,0.0,0.0,-0.004795543303468985,,,30.76923076923077,-0.058028919330288864,62,-0.21571251741696107,-0.0009078154165029773,50.0,100.0,-0.08612595989471657,-0.6737680416128363,holded,0,0.0,2021-02-09
2021-04-13,1747.95,0.0,0.0,0.0,0.008713968318088794,,,84.61538461538461,-0.04982061317677711,63,-0.18487836861511098,-0.0007704561540762267,50.0,100.0,-0.08612595989471657,-0.5784622109022598,holded,0,0.0,2021-02-09
2021-04-14,1735.55,0.0,0.0,0.0,-0.007094024428616397,,,23.076923076923077,-0.056561208958468834,64,-0.20487518419308492,-0.0008579000588375685,50.0,100.0,-0.08612595989471657,-0.6567266016844545,holded,0,0.0,2021-02-09
2021-04-15,1757.2,0.0,0.0,0.0,0.012474431736337221,,,96.15384615384616,-0.04479234616220873,65,-0.16277791297511357,-0.000673206444449459,50.0,100.0,-0.08612595989471657,-0.5200795000365103,holded,0,0.0,2021-02-09
2021-04-16,1774.45,0.0,0.0,0.0,0.00981675392670156,,,92.3076923076923,-0.03541530767558121,66,-0.12861783188304077,-0.0005268355968288674,50.0,100.0,-0.08612595989471657,-0.41120363382740976,holded,0,0.0,2021-02-09
2021-04-19,1774.5,0.0,0.0,0.0,2.8177745216906303e-05,,,61.53846153846154,-0.03538812785388079,69,-0.12329600802282537,-0.0005035561753139461,50.0,100.0,-0.08612595989471657,-0.41088805160651326,holded,0,0.0,2021-02-09
2021-04-20,1777.85,0.0,0.0,0.0,0.0018878557340096247,,,65.38461538461539,-0.03356707979995599,70,-0.11566222895268763,-0.000471274966755475,50.0,100.0,-0.08612595989471657,-0.3897440428064846,holded,0,0.0,2021-02-09
2021-04-21,1798.2,0.0,0.0,0.0,0.011446409989594342,,,92.3076923076923,-0.022504892367905427,71,-0.07761174429965412,-0.00031332633487535233,53.84615384615385,100.0,-0.08612595989471657,-0.2613020789018341,holded,0,0.0,2021-02-09
2021-04-22,1787.75,0.0,0.0,0.0,-0.005811366922478078,,,26.923076923076923,-0.02818547510328273,72,-0.09522237850374571,-0.0003858189380431254,53.84615384615385,100.0,-0.08612595989471657,-0.3272587630690869,holded,0,0.0,2021-02-09
2021-04-23,1781.8,0.0,0.0,0.0,-0.0033282058453363295,,,34.61538461538461,-0.031419873885626726,73,-0.10434826470870873,-0.00042348297350791597,53.84615384615385,100.0,-0.08612595989471657,-0.3648130473557043,holded,0,0.0,2021-02-09
2021-04-26,1773.35,1.0,0.0,0.0,-0.004742395330564642,,,30.76923076923077,-0.03601326375298919,76,-0.11451138232930425,-0.0004651095792489457,50.0,100.0,-0.08612595989471657,-0.41814644268711876,holded,0,0.0,2021-02-09
2021-04-27,1784.15,0.0,0.0,0.0,0.006090168325485701,,,84.61538461538461,-0.03014242226570929,77,-0.0953120843171198,-0.0003854234605923379,53.84615384615385,100.0,-0.08612595989471657,-0.34998068297359425,holded,0,0.0,2021-02-09
