date,gold,volume
2010-09-01,1246.5,109812.0
2010-09-02,1248.5,73901.0
2010-09-03,1240.5,107016.0
2010-09-07,1256.75,109658.0
2010-09-08,1255.0,107213.0
2010-09-09,1255.0,119779.0
2010-09-10,1246.5,103131.0
2010-09-13,1243.75,77440.0
2010-09-14,1265.5,170215.0
2010-09-15,1267.0,102682.0
2010-09-16,1272.5,99894.0
2010-09-17,1274.0,99447.0
2010-09-20,1279.25,81224.0
2010-09-21,1275.0,147878.0
2010-09-22,1293.5,124135.0
2010-09-23,1290.75,106549.0
2010-09-24,1297.0,110500.0
2010-09-27,1297.0,76830.0
2010-09-28,1294.0,205176.0
2010-09-29,1307.5,118743.0
2010-09-30,1307.0,166307.0
2010-10-01,1316.25,114682.0
2010-10-04,1313.5,76022.0
2010-10-05,1330.5,148408.0
2010-10-06,1346.5,136375.0
2010-10-07,1345.0,267432.0
2010-10-08,1341.5,190657.0
2010-10-11,1351.5,107011.0
2010-10-12,1348.5,135278.0
2010-10-13,1365.5,182477.0
2010-10-14,1373.25,184976.0
2010-10-15,1367.5,196829.0
2010-10-18,1367.25,134145.0
2010-10-19,1339.0,252504.0
2010-10-20,1339.0,162768.0
2010-10-21,1343.5,209166.0
2010-10-22,1322.5,147225.0
2010-10-25,1337.5,149218.0
2010-10-26,1329.5,156544.0
2010-10-27,1324.5,160010.0
2010-10-28,1333.5,148655.0
2010-10-29,1346.75,167815.0
2010-11-01,1354.5,126687.0
2010-11-02,1351.0,116112.0
2010-11-03,1345.5,258025.0
2010-11-04,1381.0,241404.0
2010-11-05,1395.5,241404.0
2010-11-08,1388.5,176895.0
2010-11-09,1421.0,310218.0
2010-11-10,1390.5,281249.0
2010-11-11,1398.5,178467.0
2010-11-12,1388.5,301687.0
2010-11-15,1368.5,199636.0
2010-11-16,1349.0,296974.0
2010-11-17,1337.5,174178.0
2010-11-18,1350.25,197603.0
2010-11-19,1342.5,166005.0
2010-11-22,1356.5,182134.0
2010-11-23,1377.5,249519.0
2010-11-24,1372.5,189894.0
2010-11-26,1355.0,138416.0
2010-11-29,1357.0,184840.0
2010-11-30,1383.5,169676.0
2010-12-01,1385.5,163758.0
2010-12-02,1389.0,134387.0
2010-12-03,1403.5,159635.0
2010-12-06,1415.25,144121.0
2010-12-07,1420.0,206639.0
2010-12-08,1385.5,218896.0
2010-12-09,1391.25,125993.0
2010-12-10,1375.25,133225.0
2010-12-13,1399.0,112376.0
2010-12-14,1394.5,134945.0
2010-12-15,1388.75,151373.0
2010-12-16,1363.0,179528.0
2010-12-17,1368.5,104813.0
2010-12-20,1380.0,96158.0
2010-12-21,1383.0,83427.0
2010-12-22,1387.0,61945.0
2010-12-23,1373.5,81033.0
2010-12-29,1412.5,75104.0
2010-12-30,1405.5,64915.0
2011-01-04,1388.5,211907.0
2011-01-05,1368.0,202336.0
2011-01-06,1368.5,173240.0
2011-01-07,1367.0,223830.0
2011-01-10,1368.25,118859.0
2011-01-11,1374.0,152145.0
2011-01-12,1378.75,147502.0
2011-01-13,1381.5,201998.0
2011-01-14,1367.0,200388.0
2011-01-18,1369.5,165113.0
2011-01-19,1372.0,137094.0
2011-01-20,1345.5,242891.0
2011-01-21,1343.5,161567.0
2011-01-24,1343.0,182108.0
2011-01-25,1324.0,227628.0
2011-01-26,1328.0,207998.0
2011-01-27,1334.5,210699.0
2011-01-28,1319.0,251014.0
2011-01-31,1327.0,156126.0
2011-02-01,1331.5,146591.0
2011-02-02,1337.0,109740.0
2011-02-03,1328.0,189233.0
2011-02-04,1355.0,141182.0
2011-02-07,1347.5,79087.0
2011-02-08,1363.5,135349.0
2011-02-09,1365.0,109183.0
2011-02-10,1353.25,120574.0
2011-02-11,1364.0,128133.0
2011-02-14,1365.0,102414.0
2011-02-15,1372.75,111107.0
2011-02-16,1371.25,133587.0
2011-02-17,1379.0,97397.0
2011-02-18,1383.5,113558.0
2011-02-22,1401.0,222807.0
2011-02-23,1409.25,153788.0
2011-02-24,1411.5,187391.0
2011-02-25,1402.5,120513.0
2011-02-28,1411.0,115324.0
2011-03-01,1420.75,169542.0
2011-03-02,1435.5,160582.0
2011-03-03,1421.5,202801.0
2011-03-04,1427.0,141350.0
2011-03-07,1437.5,170662.0
2011-03-08,1426.25,129914.0
2011-03-09,1431.0,126006.0
2011-03-10,1413.25,204144.0
2011-03-11,1411.5,171575.0
2011-03-14,1422.25,107163.0
2011-03-15,1400.5,248089.0
2011-03-16,1402.0,151887.0
2011-03-17,1403.75,109183.0
2011-03-18,1420.0,135868.0
2011-03-21,1432.0,129779.0
2011-03-22,1426.0,124759.0
2011-03-23,1439.5,138329.0
2011-03-24,1447.0,187085.0
2011-03-25,1436.0,182739.0
2011-03-28,1417.0,178881.0
2011-03-29,1417.5,135792.0
2011-03-30,1425.5,160217.0
2011-03-31,1439.0,129306.0
2011-04-01,1418.0,165275.0
2011-04-04,1435.5,83872.0
2011-04-05,1433.5,166355.0
2011-04-06,1461.5,131975.0
2011-04-07,1459.5,109290.0
2011-04-08,1469.5,123693.0
2011-04-11,1468.0,110657.0
2011-04-12,1450.5,186445.0
2011-04-13,1457.5,121237.0
2011-04-14,1465.75,166787.0
2011-04-15,1476.75,160619.0
2011-04-18,1493.0,199123.0
2011-04-19,1490.5,131690.0
2011-04-20,1501.0,147867.0
2011-04-21,1504.0,127269.0
2011-04-26,1497.5,145615.0
2011-04-27,1511.0,170035.0
2011-04-28,1535.5,183542.0
2011-05-03,1540.25,206734.0
2011-05-04,1541.0,242222.0
2011-05-05,1511.0,334047.0
2011-05-06,1486.5,264796.0
2011-05-09,1502.0,153908.0
2011-05-10,1513.5,149351.0
2011-05-11,1508.0,198028.0
2011-05-12,1489.5,207428.0
2011-05-13,1505.75,184884.0
2011-05-16,1500.75,127098.0
2011-05-17,1478.5,190079.0
2011-05-18,1496.5,145016.0
2011-05-19,1493.0,162309.0
2011-05-20,1490.75,194402.0
2011-05-23,1510.5,191248.0
2011-05-24,1527.0,234391.0
2011-05-25,1526.25,194947.0
2011-05-26,1518.5,186986.0
2011-05-27,1533.0,138115.0
2011-05-31,1536.5,114703.0
2011-06-01,1533.75,153611.0
2011-06-02,1539.5,151694.0
2011-06-03,1540.0,153260.0
2011-06-06,1549.0,100185.0
2011-06-07,1545.0,113974.0
2011-06-08,1537.75,111685.0
2011-06-09,1537.75,108430.0
2011-06-10,1529.25,129478.0
2011-06-13,1526.25,117009.0
2011-06-14,1516.0,115384.0
2011-06-15,1529.75,152879.0
2011-06-16,1523.25,113355.0
2011-06-17,1537.5,119736.0
2011-06-20,1544.0,95171.0
2011-06-21,1544.75,95541.0
2011-06-22,1552.5,140559.0
2011-06-23,1523.0,238418.0
2011-06-24,1514.75,182170.0
2011-06-27,1498.0,128943.0
2011-06-28,1499.0,101389.0
2011-06-29,1504.25,101480.0
2011-06-30,1505.5,134201.0
2011-07-01,1483.0,145346.0
2011-07-05,1510.0,137184.0
2011-07-06,1527.25,142652.0
2011-07-07,1527.5,117622.0
2011-07-08,1541.5,159728.0
2011-07-11,1555.5,147083.0
2011-07-12,1550.5,176605.0
2011-07-13,1579.0,210275.0
2011-07-14,1590.5,189976.0
2011-07-15,1587.0,123384.0
2011-07-18,1599.0,139693.0
2011-07-19,1601.0,194070.0
2011-07-20,1586.0,153916.0
2011-07-21,1601.0,189183.0
2011-07-22,1602.0,158421.0
2011-07-25,1613.5,209057.0
2011-07-26,1612.75,211465.0
2011-07-27,1625.0,232220.0
2011-07-28,1613.5,163995.0
2011-07-29,1628.5,153054.0
2011-08-01,1623.0,156244.0
2011-08-02,1637.75,173572.0
2011-08-03,1669.25,204437.0
2011-08-04,1679.5,310247.0
2011-08-05,1658.75,218360.0
2011-08-08,1693.0,278274.0
2011-08-09,1736.0,398589.0
2011-08-10,1772.0,296968.0
2011-08-11,1760.0,347101.0
2011-08-12,1736.0,210578.0
2011-08-15,1739.0,127711.0
2011-08-16,1782.5,168060.0
2011-08-17,1790.0,137235.0
2011-08-18,1824.0,223989.0
2011-08-19,1848.0,281310.0
2011-08-22,1877.5,253907.0
2011-08-23,1876.0,366699.0
2011-08-24,1770.0,440826.0
2011-08-25,1729.0,384694.0
2011-08-26,1788.0,265243.0
2011-08-30,1825.0,184591.0
2011-08-31,1813.5,165623.0
2011-09-01,1821.0,138082.0
2011-09-02,1875.25,180277.0
2011-09-06,1895.0,414591.0
2011-09-07,1810.0,316257.0
2011-09-08,1855.0,218499.0
2011-09-09,1851.0,273998.0
2011-09-12,1834.0,226772.0
