date,price,ma_price,volume,ma_volume,position,drift_price,drift_volume,corr,drift_corr,market_cases,market_cases_,rolling_sharpe,rolling_sortino
2011-06-14,7.188991983254937,1.932742654802432,28.0,25.322675250297134,0,0.14657736671945762,0.2648316445818397,0.24167492124143275,-0.0044586584088133225,0,2.0,2.127887395422693,41.53724006191549
2011-06-15,-1.2412347965671415,1.8335558594471328,28.0,25.40634164872535,0,0.023695285682079223,0.17424902150502686,0.24254723651542567,-0.0017931715674101992,0,2.0,2.125678269509103,41.44250455202557
2011-06-16,13.393882261083943,2.194816059498284,25.0,25.393643472202683,0,0.19247774286661518,0.0807754224911808,0.23916905326831528,-0.002585677407260297,0,2.0,2.0598546134460443,32.886661976770846
2011-06-17,-13.69416196742236,1.698285496157013,27.0,25.443842113696352,-1,-0.15202641023732785,0.06548703199242481,0.23220603632211798,-0.0047743471767288,0,2.0,2.0400704559971192,32.41634723594491
2011-06-20,1.87981278019015,1.7039582237830486,39.0,25.867472047643343,0,-0.07317684130564615,0.24455848296970784,0.21904053310665836,-0.008969925196094209,0,2.0,2.034909308772163,32.289690035291294
2011-06-21,-1.9159234345036111,1.5908369219615903,16.0,25.55911354615449,0,-0.09314907156355223,-0.03190000925957315,0.21605427261232088,-0.0059780928452158434,0,2.0,2.0324606043215203,32.19714672854798
2011-06-22,-0.0901189375470039,1.5383070513519466,33.0,25.791641247837163,0,-0.072839471086598,0.10031384621155037,0.1962700592269419,-0.012881153115297408,0,2.0,2.069787696544442,34.72099953776457
2011-06-23,23.096554929230702,2.212002297535659,49.0,26.516902458842253,1,0.3004278875485571,0.4127875286083204,0.18913167215869903,-0.010009770091770145,0,2.0,0.3752939479460762,0.6070855702849034
2011-06-24,9.534711903562313,2.440836972723992,78.0,28.125749257003434,0,0.26463128136844516,1.010817163384751,0.23564039411248638,0.018249475931008605,2,2.0,0.3776142286437591,0.6108390202189713
2011-06-27,12.295830490590106,2.7488055201573087,25.0,28.028069592722076,0,0.28629991440088093,0.45656874955169635,0.25635149313773575,0.019480287478128987,2,2.0,0.3640653292339797,0.5889173360872995
2011-06-28,4.39729444829004,2.8003207991614567,50.0,28.71469241794951,0,0.16890759670251446,0.5715957873895655,0.27690063620528754,0.020014715272840388,2,2.0,0.3539221518169429,0.5725132775478811
2011-06-29,7.017020024123895,2.9320926499415334,59.0,29.66110827988859,0,0.15033972374129556,0.7590058246643228,0.29280200255417077,0.01795804081086181,2,2.0,0.36246033713009534,0.5863220213851006
2011-06-30,4.939728928587783,2.994831283649229,8.0,28.98419864614207,0,0.10653917872449559,0.04104809545890031,0.2489492794820569,-0.012947341130626035,0,2.0,0.30059313696988255,0.4860580979778413
2011-07-01,15.8260911271459,3.3958081537585008,42.0,29.390942438450132,1,0.25375802441688367,0.22389594388348177,0.23174002250088635,-0.015078299055898288,0,2.0,0.31712479009912536,0.5127900841775678
2011-07-04,1.5394378642806714,3.3377965822123183,113.0,32.00372548724857,0,0.09787322643535062,1.4183394963409615,0.23149580298022818,-0.00766125928827823,0,2.0,0.3112680024448401,0.503321371851122
2011-07-05,-3.51572941116774,3.123623894919191,43.0,32.347359065772054,0,-0.05814973042888835,0.8809865374322209,0.20163046763107825,-0.018763297318714078,0,2.0,0.305617551299063,0.49417364437637445
2011-07-06,-1.3154364103331773,2.9849032603800545,43.0,32.68025409496668,0,-0.09843518248401244,0.6069407833134226,0.17367961807969656,-0.023357073435047886,0,2.0,0.30739638325731056,0.4970502389271953
2011-07-07,6.427708059563884,3.0924909103545493,15.0,32.127746154498965,0,0.004576233745241166,0.027216421422854853,0.14992696989305893,-0.02355486081084276,0,2.0,-2.039825605994331,-2.0493153005043987
2011-07-08,-9.555939097306693,2.697227472615135,16.0,31.623754087170873,-1,-0.1953436019970866,-0.23838782295261846,0.16848823257634873,-0.0024967990637764764,0,2.0,-2.048621220350933,-2.0580044318833197
2011-07-11,4.116744323884404,2.7415873742173,13.0,31.041761771946785,0,-0.07549185019746082,-0.4101900690883533,0.1930623539017104,0.01103866113079259,3,3.0,-2.095149092644382,-2.103629815773029
