,Strategy Performance,Gold Performance
Annual Return,56.61%,28.65%
Annual Volatility,11.21%,13.62%
Sharpe Ratio,4.06,1.92
Sortino Ratio,8.88,2.98
Max Drawdown,-2.45%,-5.06%
CVaR,-1.15%,-1.88%
VaR,-0.69%,-1.24%
