date,price,ma_price,volume,ma_volume,position,drift_price,drift_volume,corr,drift_corr,market_cases,market_cases_,rolling_sharpe,rolling_sortino
1995-11-22,384.35,384.245995844684,37560.0,25936.243929808126,0,0.033100035841203794,462.06393724322993,0.5916745863812206,0.013943565095235418,2,2.0,-0.3694515475220565,-0.5349651329966437
1995-11-27,384.6,384.25705847454026,27813.0,25994.892557015555,0,0.02208133284873653,260.35628222532944,0.6175339754886605,0.01990147710133766,2,2.0,0.5962017866130246,0.9930893506510203
1995-11-28,388.9,384.40215039724427,14558.0,25637.489664526565,1,0.08358662777637413,-48.52330513183023,0.5945260116331581,-0.001553243377082375,0,2.0,0.9498795172176278,1.7005411948322822
1995-11-29,388.5,384.53020819735895,23305.0,25564.599362493856,1,0.10582221394552459,-60.70680358226954,0.562654864578194,-0.016712195216023226,0,2.0,0.8374537620206854,1.4970223698344218
1995-11-30,387.8,384.6323891912135,16023.0,25266.424382351524,0,0.10400160390004948,-179.44089186230082,0.5208108219052744,-0.02927811894447143,0,2.0,0.653312198918372,1.161961399343409
1995-12-01,386.2,384.6813770289984,14273.0,24922.87987033116,0,0.07649472084245676,-261.4927019413333,0.4857833145675297,-0.03215281314110806,0,2.0,0.45741806403524415,0.7959511779721856
1995-12-04,385.9,384.7194589968499,20989.0,24799.94612435839,0,0.05728834434697676,-192.2132239570509,0.4626669929670827,-0.02763456737077754,0,2.0,0.6650835614226543,1.1764963487466458
1995-12-05,386.55,384.7766634032095,32784.0,25049.44780802118,0,0.05724637535330381,28.64422985287007,0.4524511596628141,-0.01892520033752308,0,2.0,0.5447613272909076,0.9580856239771799
1995-12-06,388.4,384.8898926718808,31859.0,25262.246314060998,0,0.08523782201228276,120.72136794634346,0.44039043261036714,-0.015492963694985004,0,2.0,1.0918473593171387,1.9686952918938456
1995-12-07,387.8,384.98083352590123,17274.0,25012.613616700593,0,0.08808933801637112,-64.45566470703055,0.4190713529652117,-0.018406021670070227,0,2.0,0.9900354669306445,1.778960886719899
1995-12-08,388.8,385.1001824782381,17219.0,24769.06319113522,1,0.10371914517661047,-154.00304513620142,0.3974418269968733,-0.02001777381920431,0,2.0,1.4726923087401864,2.7111494773499922
1995-12-11,389.6,385.2408017758175,14424.0,24445.779966356335,1,0.12216922137800804,-238.64313495754396,0.3734209578162459,-0.022019321499915857,0,2.0,1.4892725899233077,2.7432285276361537
1995-12-12,388.8,385.3520267203418,23314.0,24410.411842401776,0,0.11669708295117294,-137.00562945605125,0.3522166733666313,-0.02161180297476522,0,2.0,1.5034598970022002,2.7727776978826517
1995-12-13,387.6,385.4222758853425,20487.0,24287.80522230682,0,0.09347312397593102,-129.8061247755042,0.33664126500358715,-0.01859360566890469,0,2.0,1.7220154864668842,3.302999253156239
1995-12-14,385.7,385.43095476392693,18250.0,24099.12380908006,0,0.0510760012801751,-159.24376900113074,0.3404717573171063,-0.007381556677692759,0,2.0,1.1738089614163665,2.1511457706727573
