date,pl,oz_exp,oz_long,oz_short,gold,long_signal,long_signal_size,long,short_signal,short_signal_size,short,pos,str,str_return,gold_return,str_cum_return,gold_cum_return
2021-01-04,0.0,0.0,0.0,0.0,1943.2,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,1940.35,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0014666529435982678,0.0,-0.0014666529435982678
2021-01-06,0.0,0.0,0.0,0.0,1931.95,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.004329115881155365,0.0,-0.005789419514203309
2021-01-07,0.0,0.0,0.0,0.0,1920.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.006133699112295887,0.0,-0.011887608069164224
2021-01-08,0.0,0.0,0.0,0.0,1862.9,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.029790115098171865,0.0,-0.041323589954713746
2021-01-11,0.0,0.0,0.0,0.0,1847.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.008400880347844808,0.0,-0.049377315767805574
2021-01-12,0.0,0.0,0.0,0.0,1841.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0032480714575721104,0.0,-0.052465006175380746
2021-01-13,0.0,0.0,0.0,0.0,1858.85,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.009558723693143145,0.0,-0.043407780979827115
2021-01-14,0.0,0.0,0.0,0.0,1841.75,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.009199236086827822,0.0,-0.05220769864141617
2021-01-15,0.0,0.0,0.0,0.0,1839.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0014931451065562928,0.0,-0.05362289007822152
2021-01-19,0.0,0.0,0.0,0.0,1834.7,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.002338227297444262,0.0,-0.05583573487031701
2021-01-20,0.0,0.0,0.0,0.0,1856.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.01193655638524005,0.0,-0.04456566488266778
2021-01-21,0.0,0.0,0.0,0.0,1862.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0029624043951308465,0.0,-0.041735282009057295
2021-01-22,0.0,0.0,0.0,0.0,1852.7,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.0050480640137477995,0.0,-0.046572663647591606
2021-01-25,0.0,0.0,0.0,0.0,1856.85,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.002239974091865937,0.0,-0.04443701111568543
2021-01-26,0.0,0.0,0.0,0.0,1856.6,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.00013463661577406416,0.0,-0.04456566488266778
2021-01-27,0.0,0.0,0.0,0.0,1843.0,1.0,1,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.007325218140687206,0.0,-0.051564429806504664
2021-01-28,0.0,500.0,500.0,0.0,1853.7,0.0,0,1.0,0.0,0,0.0,1.0,1.0,0.0,0.0058057514921323605,0.0,-0.046058048579662336
2021-01-29,5049.9999999999545,500.0,500.0,0.0,1863.8,0.0,0,0.0,1.0,1,0.0,1.0,1.0,0.005448562334789742,0.005448562334789742,0.005448562334789742,-0.040860436393577615
2021-02-01,4625.0,0.0,500.0,-500.0,1862.95,0.0,0,0.0,0.0,0,1.0,0.0,0.0,-0.00045605751690092067,-0.00045605751690092067,0.004990019960079639,-0.041297859201317344
2021-02-02,4625.0,0.0,500.0,-500.0,1833.1,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.016022974314930716,0.004990019960079639,-0.056659118979003775
2021-02-03,4625.0,0.0,500.0,-500.0,1835.45,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0012819813430799964,0.004990019960079639,-0.0554497735693702
2021-02-04,4625.0,0.0,500.0,-500.0,1785.9,0.0,0,0.0,0.0,0,0.0,0.0,0.0,-0.0,-0.026996104497534645,0.004990019960079639,-0.08094895018526149
2021-02-05,4625.0,0.0,500.0,-500.0,1802.95,1.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.009547007111260442,0.004990019960079639,-0.07217476327706884
2021-02-08,4625.0,500.0,1000.0,-500.0,1835.25,1.0,1,1.0,0.0,0,0.0,1.0,1.0,0.0,0.017915083612967564,0.004990019960079639,-0.05555269658295614
2021-02-09,6799.999999999955,1000.0,1500.0,-500.0,1839.6,0.0,0,1.0,1.0,1,0.0,2.0,2.0,0.0023702492848385326,0.0023702492848385326,0.007372096836159914,-0.053314121037464246
2021-02-10,9850.000000000138,500.0,1500.0,-1000.0,1842.65,0.0,0,0.0,0.0,0,1.0,1.0,0.5,0.0033159382474452492,0.0016579691237226246,0.010712480501468002,-0.05174454508028015
2021-02-11,8575.000000000047,500.0,1500.0,-1000.0,1840.1,0.0,0,0.0,0.0,0,0.0,1.0,1.0,-0.0006919382411201824,-0.0013838764822403649,0.010013129885431571,-0.05305681350349967
2021-02-12,-3299.9999999999527,500.0,1500.0,-1000.0,1816.35,0.0,0,0.0,0.0,0,0.0,1.0,1.0,-0.012906907233302567,-0.012906907233302567,-0.0030230158864172907,-0.0652789213668179
2021-02-16,-14349.999999999913,500.0,1500.0,-1000.0,1794.25,0.0,0,0.0,0.0,0,0.0,1.0,1.0,-0.01216725851295175,-0.01216725851295175,-0.015153492583590222,-0.07665191436805296
2021-02-17,-21124.99999999989,500.0,1500.0,-1000.0,1780.7,0.0,0,0.0,0.0,0,0.0,1.0,1.0,-0.007551901908875558,-0.007551901908875558,-0.022590956802897688,-0.08362494853849345
2021-02-18,-24899.99999999987,500.0,1500.0,-1000.0,1773.15,0.0,0,0.0,0.0,0,0.0,1.0,1.0,-0.004239905655079479,-0.004239905655079479,-0.026735078932474954,-0.08751029230135887
2021-02-19,-18374.99999999989,500.0,1500.0,-1000.0,1786.2,0.0,0,0.0,0.0,0,0.0,1.0,1.0,0.007359783436257539,0.007359783436257539,-0.0195720598873117,-0.08079456566488297
2021-02-22,-7749.999999999887,500.0,1500.0,-1000.0,1807.45,1.0,1,0.0,0.0,0,0.0,1.0,1.0,0.011896764080170152,0.011896764080170152,-0.007908139986183893,-0.06985899547138774
2021-02-23,-11649.999999999869,1000.0,2000.0,-1000.0,1799.65,1.0,1,1.0,0.0,0,0.0,2.0,2.0,-0.004315472073916249,-0.004315472073916249,-0.012189484702833098,-0.0738729930012354
2021-02-24,-23299.999999999956,1500.0,2500.0,-1000.0,1788.0,0.0,0,1.0,0.0,0,0.0,3.0,1.5,-0.012946961909260146,-0.006473480954630073,-0.02497862981795218,-0.07986825854261048
2021-02-25,-35824.999999999825,1500.0,2500.0,-1000.0,1779.65,0.0,0,0.0,0.0,0,0.0,3.0,1.0,-0.0070050335570469024,-0.004670022371364602,-0.031808687234915256,-0.08416529435981912
2021-02-26,-91025.00000000009,1500.0,2500.0,-1000.0,1742.85,0.0,0,0.0,0.0,0,0.0,3.0,1.0,-0.02067822324614399,-0.02067822324614399,-0.051829163345248896,-0.10310312885961337
2021-03-01,-104074.99999999983,1500.0,2500.0,-1000.0,1734.15,0.0,0,0.0,0.0,0,0.0,3.0,1.0,-0.00499182373698237,-0.00499182373698237,-0.05656226503437656,-0.10758027995059716
2021-03-02,-119525.00000000007,1500.0,2500.0,-1000.0,1723.85,0.0,0,0.0,0.0,0,0.0,3.0,1.0,-0.005939509269671128,-0.005939509269671128,-0.062165822206562416,-0.11288081515026793
2021-03-03,-138199.99999999983,1500.0,2500.0,-1000.0,1711.4,0.0,0,0.0,0.0,0,0.0,3.0,1.0,-0.0072222061084199485,-0.0072222061084199485,-0.06893905393410715,-0.11928777274598623
2021-03-04,-137150.0000000001,1500.0,2500.0,-1000.0,1712.1,0.0,0,0.0,0.0,0,0.0,3.0,1.0,0.0004090218534531509,0.0004090218534531509,-0.06855822966026948,-0.11892754219843593
2021-03-05,-160924.99999999994,1500.0,2500.0,-1000.0,1696.25,1.0,1,0.0,0.0,0,0.0,3.0,1.0,-0.009257636820279136,-0.009257636820279136,-0.07718117928931256,-0.12708419102511348
2021-03-08,-174725.0,2000.0,3000.0,-1000.0,1687.05,1.0,1,1.0,0.0,0,0.0,4.0,1.3333333333333333,-0.0054237288135593476,-0.0054237288135593476,-0.08218629831689594,-0.13181864965006207
2021-03-09,-115024.99999999975,2500.0,3500.0,-1000.0,1716.9,0.0,0,1.0,1.0,1,0.0,5.0,1.25,0.023591476245517384,0.017693607184138038,-0.060533718175828644,-0.11645738987237575
2021-03-10,-116774.99999999988,2000.0,3500.0,-1500.0,1716.2,0.0,0,0.0,0.0,0,1.0,4.0,0.8,-0.0005096394664802495,-0.0004077115731841996,-0.061012507270473804,-0.11681762041992616
2021-03-11,-100674.99999999993,2000.0,3500.0,-1500.0,1724.25,1.0,1,0.0,1.0,1,0.0,4.0,1.0,0.0037524764013518565,0.00469059550168982,-0.057488978862841655,-0.11267496912309616
2021-03-12,-139575.0,2000.0,4000.0,-2000.0,1704.8,0.0,0,1.0,0.0,0,1.0,4.0,1.0,-0.011280266782659143,-0.011280266782659143,-0.06812075462686529,-0.1226842321943189
2021-03-15,-101874.9999999998,2000.0,4000.0,-2000.0,1723.65,1.0,1,0.0,1.0,1,0.0,4.0,1.0,0.011057015485687494,0.011057015485687494,-0.05781695137998377,-0.11298373816385365
