,Strategy_Trades,Strategy_Alpha,Strategy_Beta,Strategy_InfoRatio,Strategy_Return,Gold_Return,Strategy_Volatility,Gold_Volatility,Strategy_Sharpe,Gold_Sharpe,Strategy_Sortino,Gold_Sortino,Strategy_Drawdown,Gold_Drawdown,Strategy_Var,Gold_Var,Strategy_CVar,Gold_CVar
2010,52.0,-0.07135234122113299,0.7332696975007452,-0.09173218186713643,0.07497749864601344,0.21979491752117752,0.1426501509023598,0.16178556491834525,0.5863169630369999,1.3289214721968479,0.8119620333453568,1.9789553350278861,-0.10679237862534592,-0.08247422680412347,-0.01550080338670865,-0.015611081552916305,-0.021746052556920473,-0.021340790419550445
2011,70.0,0.16190844049524822,0.6556485902001252,0.040691765516640256,0.2667251395332251,0.15160244868563133,0.18634271467668717,0.21493461999546903,1.3979429512587846,0.7833288111283633,2.1851879835946093,1.0714750508490287,-0.12579634552471838,-0.1920844327176785,-0.01771574888744751,-0.019437276161971263,-0.026087603118196818,-0.032813776223982107
2012,52.0,-0.08498679211658611,0.4802775047727408,-0.05629682399843543,-0.07031369913272212,0.031289111389237956,0.12127864253524454,0.16740391331008983,-0.5525148202036632,0.27105461854380997,-0.7066995780772254,0.390792922949422,-0.14381065581361963,-0.1353172375070186,-0.012158805596194222,-0.01763735395898326,-0.022705194207162643,-0.02307006698481789
2013,72.0,0.0754651175014458,0.6764590573206734,0.0730893417947153,-0.1351919717128205,-0.2711439114391141,0.19536417849626753,0.21867437595514344,-0.6606722679680359,-1.364451175010177,-0.9058584976618008,-1.7160601523574683,-0.23654194606603304,-0.29623616236162365,-0.019081052114285447,-0.022058753087049854,-0.028963911951910424,-0.034859011575524325
2014,58.0,0.07036979828492096,0.4797684247206227,0.04478087567095267,0.057932033375290626,-0.020408163265306478,0.10085506785592563,0.1344071721319703,0.6175523023273416,-0.08886023903466128,0.9638254656913082,-0.12277996138534887,-0.09047046554221788,-0.17545126353790635,-0.009219633865724369,-0.014316947514816734,-0.014291165315060073,-0.019571887833703824
2015,43.0,0.04050858675626068,0.46389720271447765,0.04687460436826934,-0.0006440918320049782,-0.08105802047781596,0.101123076684679,0.14289630287664493,0.04379424703949039,-0.5322758722594405,0.06561160586930302,-0.7504253202276798,-0.06462176720951834,-0.1901215512251595,-0.008524608303264524,-0.0149243131778801,-0.015063166015009368,-0.019773120299882686
2016,53.0,0.11223961347443967,0.779147140061387,0.06170315208808567,0.17433066535060204,0.07576807576807587,0.1523242573429501,0.16561747814640257,1.1477516214202974,0.5303169715512464,1.9272834026136625,0.8153830957510826,-0.11147787927455403,-0.17606587374199456,-0.012459407729416665,-0.01632903522130305,-0.020623783013827144,-0.021468287162677673
2017,71.0,0.03327896599146429,0.935884852998419,0.031549902518498076,0.1709647439083184,0.14435273675065208,0.11562860878854875,0.11311017125147109,1.4394068194084944,1.262985814555243,2.2087107642648123,2.0028603426376312,-0.06254628385555193,-0.07825441039925683,-0.010215527422134553,-0.010264806176481733,-0.01560335557312659,-0.014057533547969391
2018,63.0,0.033934442485811234,0.7797745127350999,0.0439323553358746,0.013135235764647257,-0.024503639343012473,0.08650361994741612,0.08978771268010473,0.19565720022997352,-0.23493138426490753,0.2962804112298125,-0.3400569010012266,-0.09377231014892452,-0.13030001107051836,-0.0076403096779285255,-0.008143952384080944,-0.011175858930340708,-0.01096312799995307
2019,76.0,-0.05448887905605948,0.9290444600572151,-0.07095989433946778,0.12574318092636783,0.2072258165094718,0.1253412234335978,0.11745813573188724,1.022749404141599,1.6881377947033616,1.5528211438045352,2.7596499182387912,-0.09616996630087032,-0.060830476683266056,-0.011012070576181083,-0.01102682018359959,-0.01824790874191057,-0.014376042719719928
2020,54.0,0.005945885739895518,0.689293115771872,-0.03878816434372666,0.1861544243520934,0.27247724445026655,0.1766912134107688,0.20383287616943732,1.0701922919585811,1.3036615388034276,1.560411890880914,1.8582247304700683,-0.12076844671126223,-0.14735263527078363,-0.015677203466779574,-0.01886790272171509,-0.028618324588049363,-0.029980778441303056
2021,59.0,0.0014624836767056504,0.610676789821571,0.014569527255960514,-0.03627382071917651,-0.060184232194319676,0.11706713251009773,0.14435763891399156,-0.26342264020727535,-0.3663914438633089,-0.3495477534006343,-0.47803158368084303,-0.11907586571036224,-0.13341395636064263,-0.012813099306273478,-0.01489237637799674,-0.01893272199607973,-0.022588738111357018
2022,81.0,0.07333205942842058,0.7107099443634155,0.044456584161666604,0.07924762810266506,0.012476537484816141,0.1328797613978929,0.14996972887797705,0.6612106941615912,0.16028241507179028,1.0361276216119326,0.23719611012597247,-0.12318437528388472,-0.2012211569113077,-0.012704609784409342,-0.013827508403240795,-0.017379875767719846,-0.018537157121762935
2023,86.0,0.09472716157507155,0.7980097096157684,0.05365145546890321,0.1909494786504391,0.11561101315611011,0.12750719743537436,0.13086491574041612,1.461942649333537,0.9181790497765391,2.4497253307137474,1.3965623972539472,-0.10113902253120476,-0.11203592960531145,-0.012544283945786494,-0.012472454862116955,-0.015936873423301762,-0.017155120505330027
2024,45.0,0.3457968950857111,0.5834615245292408,0.12367813866608598,0.23299734821594442,0.12454354187322925,0.11181072659218398,0.13569157508468285,3.992226358174008,1.8846886688645828,8.725975625177675,2.924653860391546,-0.02450513333757211,-0.050632389898241544,-0.0068001619111563855,-0.012341438319170617,-0.011501470150001766,-0.018817409887088705
